Id,RefSetId,Code,DisplayName
a1000001-0000-0000-0000-000000000001,f1a00001-0000-0000-0000-000000000001,GUEST,Guest
a1000001-0000-0000-0000-000000000002,f1a00001-0000-0000-0000-000000000001,DELIVERY,Delivery
a1000001-0000-0000-0000-000000000003,f1a00001-0000-0000-0000-000000000001,SERVICE,Service
a1000001-0000-0000-0000-000000000004,f1a00001-0000-0000-0000-000000000001,CONTRACTOR,Contractor
a1000002-0000-0000-0000-000000000001,f1a00001-0000-0000-0000-000000000002,GUEST_VISIT,Guest Visit
a1000002-0000-0000-0000-000000000002,f1a00001-0000-0000-0000-000000000002,DELIVERY,Delivery
a1000002-0000-0000-0000-000000000003,f1a00001-0000-0000-0000-000000000002,MAINTENANCE,Maintenance
a1000002-0000-0000-0000-000000000004,f1a00001-0000-0000-0000-000000000002,BUSINESS,Business
a1000003-0000-0000-0000-000000000001,f1a00001-0000-0000-0000-000000000003,PENDING,PENDING
a1000003-0000-0000-0000-000000000002,f1a00001-0000-0000-0000-000000000003,APPROVED,APPROVED
a1000003-0000-0000-0000-000000000003,f1a00001-0000-0000-0000-000000000003,REJECTED,REJECTED
a1000003-0000-0000-0000-000000000004,f1a00001-0000-0000-0000-000000000003,CHECKED_IN,CHECKED_IN
a1000003-0000-0000-0000-000000000005,f1a00001-0000-0000-0000-000000000003,CHECKED_OUT,CHECKED_OUT
a1000003-0000-0000-0000-000000000006,f1a00001-0000-0000-0000-000000000003,EXPIRED,EXPIRED
a1000003-0000-0000-0000-000000000007,f1a00001-0000-0000-0000-000000000003,CANCELLED,CANCELLED
